TempAvgF,DewPointAvgF,HumidityAvgPercent,SeaLevelPressureAvgInches,VisibilityAvgMiles,WindAvgMPH,WindGustMPH,Events
52,49,97,29.96,5,4,13,Rain
57,50,78,30.04,10,4,14,not rainy
57,50,79,30.2,10,6,20,not rainy
63,52,73,30.1,10,5,18,Rain
66,52,68,30,8,3,18,not rainy
66,49,61,30.1,10,6,23,not rainy
60,51,72,30.26,10,3,16,not rainy
65,56,73,30.21,9,3,17,not rainy
70,63,82,30.11,8,3,16,Rain
71,61,74,29.99,10,4,20,Rain
73,64,79,29.95,8,5,17,not rainy
64,61,89,30.09,6,4,22,"Fog , Rain"
58,56,95,30.08,7,4,17,Rain
68,57,75,30.03,10,4,15,not rainy
66,56,73,30.06,10,3,14,not rainy
71,60,72,29.97,10,7,22,not rainy
73,61,72,29.91,10,8,27,not rainy
62,48,62,30.03,9,10,29,Rain
64,36,44,30.15,10,4,19,not rainy
66,44,54,30.08,10,5,24,not rainy
71,56,67,30.06,10,8,28,not rainy
72,62,76,30.11,10,5,18,not rainy
74,62,74,30,10,7,20,not rainy
76,65,71,29.92,9,7,25,Rain
76,66,76,29.9,8,8,26,not rainy
76,62,67,29.98,8,7,27,not rainy
63,44,53,30.24,10,8,32,not rainy
64,59,78,30,5,4,16,Rain
75,65,76,29.94,8,7,24,not rainy
78,65,71,29.96,10,8,26,not rainy
74,67,81,29.92,9,8,29,not rainy
79,67,73,29.86,9,7,27,not rainy
65,53,70,30.08,10,5,26,"Rain , Thunderstorm"
65,62,86,30.04,5,3,12,Rain
75,67,81,29.91,5,5,19,Fog
76,65,67,29.86,8,4,19,"Rain , Thunderstorm"
67,55,67,30.04,10,6,20,not rainy
69,56,69,29.97,10,4,20,not rainy
74,66,78,29.91,9,4,27,"Rain , Thunderstorm"
71,65,81,29.92,8,4,18,"Rain , Thunderstorm"
66,63,82,29.87,8,4,43,"Fog , Rain , Thunderstorm"
73,58,60,29.8,7,6,25,"Fog , Thunderstorm"
64,43,48,29.98,10,6,25,not rainy
66,53,66,29.95,10,5,22,not rainy
74,65,79,29.89,10,7,23,not rainy
77,69,85,29.87,8,4,16,not rainy
77,72,85,29.82,6,5,23,"Rain , Thunderstorm"
82,64,61,29.74,7,5,20,Thunderstorm
78,69,77,29.65,8,8,32,"Rain , Thunderstorm"
74,62,66,29.68,9,4,37,"Rain , Thunderstorm"
59,52,74,29.98,10,8,26,not rainy
63,45,61,30.05,10,5,19,not rainy
67,49,60,29.99,10,3,14,not rainy
70,52,60,30.02,10,2,15,not rainy
71,53,58,30.02,10,4,20,not rainy
71,58,67,29.98,10,6,23,not rainy
75,63,71,30.02,10,8,26,not rainy
75,67,77,29.95,6,7,28,"Fog , Rain , Thunderstorm"
79,69,74,29.91,8,8,23,Rain
78,71,81,29.87,9,9,26,Rain
76,73,88,29.87,5,6,19,"Rain , Thunderstorm"
79,71,79,29.82,7,9,31,"Rain , Thunderstorm"
82,71,71,29.8,9,10,29,not rainy
74,67,78,29.99,7,5,20,"Rain , Thunderstorm"
67,65,91,30.14,8,5,17,Rain
67,66,97,30.08,5,4,26,"Fog , Rain , Thunderstorm"
78,71,83,30.03,6,5,24,Rain
72,68,87,29.95,8,4,20,"Rain , Thunderstorm"
77,70,79,29.85,9,9,30,not rainy
75,68,83,29.94,6,5,35,"Rain , Thunderstorm"
81,72,77,30.03,9,5,20,Rain
82,72,73,29.99,8,8,28,Rain
81,72,75,29.94,8,5,21,"Rain , Thunderstorm"
69,63,84,30.08,10,6,24,"Rain , Thunderstorm"
70,67,91,30.08,6,4,17,Rain
77,71,83,30.02,6,7,32,"Fog , Rain , Thunderstorm"
73,68,81,29.89,10,6,17,Rain
74,69,87,29.84,7,5,29,"Fog , Rain , Thunderstorm"
78,69,80,29.95,6,6,20,Thunderstorm
76,70,82,30.03,9,5,18,"Rain , Thunderstorm"
78,73,80,30.01,8,6,25,"Rain , Thunderstorm"
77,66,76,29.95,8,5,33,"Rain , Thunderstorm"
79,68,74,30,10,2,16,"Rain , Thunderstorm"
77,64,67,30.06,10,2,16,not rainy
76,65,70,30.03,10,2,12,not rainy
79,66,70,29.96,10,2,16,not rainy
78,66,69,29.91,10,5,20,not rainy
78,66,68,29.95,10,4,16,not rainy
80,68,72,30,10,4,17,not rainy
80,67,72,29.97,10,3,14,not rainy
81,67,71,29.94,10,4,17,not rainy
82,68,67,29.95,10,3,13,not rainy
84,67,60,29.89,10,3,13,not rainy
83,68,62,29.83,10,4,16,not rainy
84,70,71,29.8,10,7,25,not rainy
84,73,70,29.82,10,6,20,not rainy
85,72,70,29.84,10,7,29,not rainy
79,73,87,29.89,8,6,22,"Fog , Rain , Thunderstorm"
82,73,78,29.93,9,4,24,"Rain , Thunderstorm"
78,73,84,29.9,8,7,25,"Fog , Rain , Thunderstorm"
81,74,83,29.85,7,5,15,"Fog , Rain , Thunderstorm"
82,73,82,29.95,10,4,21,Thunderstorm
78,73,87,30.02,8,1,22,"Fog , Rain , Thunderstorm"
78,73,90,30.02,8,3,26,"Fog , Rain , Thunderstorm"
79,75,85,30.03,7,4,29,"Fog , Rain , Thunderstorm"
81,74,84,30.06,9,5,17,not rainy
84,73,73,30.1,10,5,20,Thunderstorm
83,73,78,30.12,10,3,16,not rainy
83,72,76,30.06,10,4,17,not rainy
85,73,73,29.98,10,6,18,not rainy
83,73,75,29.99,10,1,22,"Rain , Thunderstorm"
82,73,73,30,9,2,17,"Rain , Thunderstorm"
84,72,75,29.97,9,5,18,not rainy
84,73,76,30.01,7,4,26,"Fog , Rain , Thunderstorm"
81,71,78,30.01,10,4,31,Rain
81,71,78,29.98,10,6,29,not rainy
84,72,69,29.96,9,6,19,not rainy
84,73,73,29.98,10,7,22,not rainy
84,73,75,30,10,7,26,not rainy
84,72,72,29.99,9,8,28,not rainy
85,73,71,29.95,10,8,28,not rainy
85,72,69,29.98,9,8,29,not rainy
85,71,65,30.03,9,8,24,not rainy
84,70,68,30.06,9,6,21,not rainy
83,70,69,30.1,10,5,19,not rainy
84,71,67,30.05,10,5,19,not rainy
86,71,69,29.93,10,5,19,not rainy
86,69,61,29.87,10,6,18,not rainy
85,70,64,29.91,10,6,19,not rainy
85,70,69,29.95,10,6,19,not rainy
86,72,66,29.94,10,7,21,not rainy
88,72,65,29.96,10,7,23,not rainy
87,72,65,29.97,10,6,22,not rainy
86,71,66,29.93,10,5,19,not rainy
86,71,66,29.88,10,6,19,not rainy
87,72,64,29.89,10,7,23,not rainy
88,70,62,29.95,10,7,24,not rainy
88,71,62,29.98,10,6,20,not rainy
87,70,66,29.95,10,5,19,not rainy
87,72,67,29.89,9,6,17,not rainy
89,72,62,29.9,9,6,20,not rainy
89,71,63,29.93,9,8,25,not rainy
89,71,61,29.99,10,6,18,not rainy
88,66,55,30.01,10,2,16,not rainy
90,68,52,29.97,10,4,21,not rainy
86,61,47,29.94,10,3,17,not rainy
88,61,48,29.88,10,3,16,not rainy
87,64,54,29.86,10,4,17,not rainy
89,70,62,29.9,10,6,22,not rainy
90,71,59,29.93,10,7,21,not rainy
90,71,59,29.89,10,7,22,not rainy
89,70,61,29.87,10,6,22,not rainy
90,73,66,29.86,10,10,24,not rainy
92,68,43,29.95,10,3,20,not rainy
91,67,51,29.94,10,3,19,not rainy
90,69,58,29.95,10,4,17,not rainy
89,66,54,29.96,10,3,16,Thunderstorm
87,67,58,29.93,10,4,19,not rainy
86,68,61,29.91,10,4,17,not rainy
88,70,62,29.84,10,7,23,not rainy
89,72,62,29.8,10,6,20,not rainy
79,71,78,29.94,8,4,22,"Rain , Thunderstorm"
82,71,73,29.96,9,5,23,Rain
87,73,65,29.92,10,6,22,not rainy
89,72,64,29.97,10,5,18,not rainy
89,68,58,30,10,2,15,not rainy
89,68,56,30.01,10,3,23,not rainy
86,68,62,30.05,10,3,13,not rainy
86,64,56,30.01,10,4,18,not rainy
85,60,50,29.95,10,4,18,not rainy
83,63,55,29.98,10,3,15,not rainy
86,65,55,29.97,10,3,17,not rainy
86,67,59,29.97,10,5,24,not rainy
84,69,64,30,10,5,21,not rainy
83,67,65,30.01,10,4,19,not rainy
84,69,64,29.92,10,3,19,not rainy
88,72,62,29.91,10,6,23,not rainy
90,73,62,29.95,10,7,24,not rainy
88,71,63,29.95,10,6,19,not rainy
88,70,61,29.91,10,6,20,not rainy
88,71,61,29.89,10,5,16,not rainy
84,73,74,29.91,8,3,17,"Rain , Thunderstorm"
84,73,71,29.91,7,2,25,"Fog , Rain , Thunderstorm"
84,73,72,29.92,8,3,20,not rainy
80,57,55,30.02,10,5,20,not rainy
77,51,49,30.02,10,4,20,not rainy
77,57,53,30.01,10,5,17,not rainy
84,70,67,30.02,10,5,26,not rainy
84,72,72,30.05,9,6,19,Rain
86,71,67,29.99,10,6,18,not rainy
86,70,64,29.88,10,6,18,not rainy
85,68,60,29.92,10,3,14,not rainy
84,64,56,29.98,10,4,17,not rainy
81,62,58,29.99,10,2,15,not rainy
82,58,49,29.99,10,2,16,not rainy
84,64,58,30,10,2,19,"Rain , Thunderstorm"
82,59,54,29.93,10,3,21,not rainy
81,59,50,29.87,10,2,22,not rainy
79,63,64,29.83,10,3,17,not rainy
81,64,63,29.86,10,2,17,not rainy
83,62,56,29.94,10,2,16,not rainy
82,60,52,30,9,4,17,not rainy
78,50,45,29.97,10,5,18,not rainy
72,43,40,29.88,10,3,14,not rainy
73,47,45,29.95,10,2,14,not rainy
76,52,45,30.03,10,2,13,not rainy
77,53,44,30.07,10,3,12,not rainy
77,58,54,30.02,10,3,15,not rainy
80,64,64,30,10,3,20,not rainy
80,64,62,30.07,10,2,11,not rainy
79,59,56,30.11,10,3,16,not rainy
80,61,55,29.92,10,4,21,not rainy
86,67,62,29.78,9,6,23,not rainy
79,45,45,29.96,10,5,20,not rainy
78,41,36,30.03,10,3,15,not rainy
79,56,55,30.06,10,4,21,not rainy
76,56,60,30.15,10,2,16,not rainy
75,48,46,30.22,10,4,16,not rainy
71,35,33,30.27,10,4,14,not rainy
70,45,46,30.19,10,4,18,not rainy
73,58,61,30.08,10,4,20,not rainy
79,68,71,30.06,10,8,24,Rain
76,70,85,29.97,7,7,25,Rain
76,73,91,29.89,7,6,32,"Rain , Thunderstorm"
68,66,94,29.9,4,9,26,Rain
61,57,89,30.02,8,9,31,Rain
69,54,62,29.97,10,6,23,not rainy
71,53,61,29.85,10,3,14,not rainy
70,50,53,29.85,10,4,31,not rainy
66,54,66,29.89,10,4,18,not rainy
71,70,90,29.73,4,8,42,"Fog , Rain , Thunderstorm"
71,65,82,29.75,8,4,27,"Rain , Thunderstorm"
67,57,75,29.96,10,3,12,Rain
68,58,75,29.98,5,3,14,Fog
69,59,74,30.01,7,3,14,Fog
70,64,82,30.02,9,5,20,Rain
79,72,83,29.97,9,6,19,"Rain , Thunderstorm"
68,54,62,30.06,10,3,20,Rain
60,54,79,30.17,8,8,28,"Fog , Rain"
62,43,56,30.23,10,5,20,not rainy
63,50,66,30.12,10,1,9,not rainy
67,63,82,30.02,10,4,20,not rainy
77,64,62,29.87,10,7,25,not rainy
64,36,36,30.19,10,6,27,not rainy
61,39,47,30.28,10,4,14,not rainy
60,46,66,30.3,10,3,11,Rain
62,53,73,30.18,10,4,17,not rainy
70,67,92,29.85,8,7,28,Rain
61,55,69,29.66,8,4,30,Rain
58,42,64,29.86,10,2,15,not rainy
63,46,59,30.08,10,1,11,not rainy
65,55,67,30.03,10,4,17,not rainy
54,47,63,30.12,10,7,35,not rainy
47,29,56,30.32,10,2,13,not rainy
48,33,61,30.29,10,2,14,not rainy
56,50,74,30.14,10,3,16,not rainy
68,61,77,30.07,10,5,22,Rain
71,69,91,30.1,8,7,20,Rain
58,58,94,30.14,6,7,22,"Fog , Rain"
42,39,91,30.23,9,7,19,Rain
45,42,91,30.18,8,4,15,Rain
50,45,86,30.06,10,2,11,not rainy
53,43,72,30.05,10,2,12,not rainy
55,40,65,30.18,10,3,14,Fog
52,37,61,30.38,10,1,12,not rainy
50,38,66,30.45,10,2,13,not rainy
51,39,66,30.43,10,2,14,not rainy
57,46,71,30.4,10,2,16,not rainy
57,43,64,30.27,10,1,12,not rainy
59,48,70,30.03,10,3,21,not rainy
62,47,61,29.98,10,2,13,not rainy
65,58,78,29.86,8,4,19,not rainy
66,61,79,29.83,6,6,23,Fog
73,67,85,29.75,9,9,29,Rain
60,52,84,29.7,6,4,37,Rain
59,41,57,29.78,10,3,18,not rainy
64,60,86,29.72,10,4,16,not rainy
55,29,40,29.92,10,8,26,not rainy
54,31,54,30.08,10,4,25,not rainy
46,31,55,30.37,10,3,24,not rainy
51,40,68,30.4,10,4,20,not rainy
59,56,89,30.12,10,5,25,Rain
65,61,79,29.96,9,2,15,not rainy
64,57,69,29.7,10,5,20,not rainy
67,54,59,29.57,9,3,24,not rainy
63,56,81,29.84,9,1,16,not rainy
61,53,77,29.95,9,2,17,not rainy
74,69,85,29.72,9,10,31,Rain
55,47,89,29.68,8,10,33,"Rain , Thunderstorm"
41,30,75,29.94,10,8,35,not rainy
43,36,74,30.09,8,3,11,Rain
49,42,80,30.23,7,4,14,Rain
46,39,78,30.32,10,6,20,not rainy
52,39,70,30.3,10,3,14,Rain
48,31,58,30.33,10,4,13,not rainy
46,36,68,30.28,10,3,12,Rain
50,47,86,30.05,5,3,13,"Rain , Thunderstorm"
61,50,71,29.9,5,2,13,Fog
55,50,86,29.79,7,3,18,Thunderstorm
48,34,59,30.02,10,9,30,not rainy
42,26,61,30.3,10,4,16,not rainy
45,28,59,30.26,10,1,9,not rainy
50,34,58,30.28,10,2,16,not rainy
52,39,68,30.17,10,2,17,not rainy
59,50,75,29.91,10,3,19,not rainy
59,39,58,29.79,10,3,17,not rainy
54,37,61,29.96,10,5,29,Rain
45,32,65,30.19,10,3,18,not rainy
48,36,70,30.32,10,2,12,not rainy
56,47,78,30.19,7,4,26,not rainy
51,39,70,30.1,10,4,17,not rainy
54,46,66,30,6,7,36,Rain
46,29,56,30.31,10,8,26,not rainy
44,30,61,30.28,10,3,12,not rainy
53,41,61,30.03,10,5,24,not rainy
66,51,66,29.94,10,4,20,not rainy
51,32,50,30.2,10,10,30,Rain
48,26,47,30.32,10,5,21,not rainy
52,32,53,30.17,10,2,17,not rainy
57,35,53,30.02,10,4,24,not rainy
62,46,59,29.87,10,6,25,not rainy
72,54,55,29.81,10,5,19,not rainy
66,54,73,29.74,7,8,28,Fog
62,27,28,29.78,10,6,23,not rainy
49,25,41,30.2,10,7,23,not rainy
47,23,49,30.46,10,3,12,not rainy
48,28,47,30.38,10,4,22,not rainy
51,31,51,30.35,10,7,29,"Rain , Thunderstorm"
50,33,62,30.23,10,3,21,not rainy
56,20,37,30.34,10,8,29,not rainy
57,27,40,30.32,10,6,23,not rainy
56,33,54,30.3,10,3,16,not rainy
68,37,36,30.12,10,5,20,not rainy
63,43,60,30.21,10,3,19,not rainy
64,47,60,30.25,10,6,24,not rainy
66,55,71,29.97,10,6,26,not rainy
62,49,59,29.89,10,5,25,not rainy
63,40,49,29.99,10,4,19,not rainy
63,33,35,30.2,10,6,21,not rainy
67,54,68,30.16,10,9,29,not rainy
73,58,63,30.1,10,8,28,not rainy
71,62,76,30.03,10,6,21,not rainy
68,63,86,30,10,3,16,Rain
65,56,74,29.88,10,4,18,not rainy
54,50,76,29.73,8,9,37,"Rain , Thunderstorm"
54,30,49,30.18,10,7,28,not rainy
54,31,53,30.31,10,5,19,not rainy
53,29,42,30.4,10,3,16,not rainy
58,45,62,30.24,10,5,21,not rainy
67,55,72,30.04,10,7,23,not rainy
70,60,72,30.04,10,6,22,not rainy
70,55,62,30.02,10,8,28,not rainy
64,47,59,30.06,10,6,25,not rainy
73,50,53,29.97,10,7,28,not rainy
61,37,48,30.12,10,4,22,not rainy
68,54,66,30.13,10,6,18,not rainy
68,57,74,30.08,9,9,26,not rainy
70,62,76,29.83,9,11,33,Rain
76,66,74,29.69,8,9,30,"Rain , Thunderstorm"
65,58,92,29.75,6,8,27,"Rain , Thunderstorm"
61,59,92,29.88,8,8,26,Rain
65,61,87,29.93,7,3,15,"Rain , Thunderstorm"
66,56,75,29.9,10,4,16,not rainy
71,51,59,29.79,8,4,25,not rainy
73,50,48,29.79,10,5,26,not rainy
80,58,59,29.79,7,6,20,not rainy
71,57,61,29.93,9,5,17,not rainy
73,66,76,29.88,6,4,12,Rain
68,66,85,29.82,7,5,25,"Rain , Thunderstorm"
55,36,52,30.16,10,11,29,not rainy
53,28,44,30.39,10,5,23,not rainy
52,34,57,30.37,10,4,20,not rainy
62,50,67,30.06,10,9,31,not rainy
74,62,71,29.8,10,9,27,not rainy
59,46,51,29.93,8,8,28,"Rain , Thunderstorm"
57,41,60,29.95,10,4,19,not rainy
61,53,75,29.9,9,4,20,not rainy
65,55,70,30.03,8,5,24,Rain
62,42,51,30.09,10,4,18,not rainy
64,62,76,29.91,5,6,22,Rain
73,69,88,29.74,5,7,24,Rain
76,56,59,29.67,7,5,18,not rainy
59,45,57,29.97,9,8,37,"Rain , Thunderstorm"
60,38,50,30.24,10,5,20,not rainy
62,41,58,30.18,10,3,17,not rainy
68,46,48,30.15,10,4,18,not rainy
68,47,50,30.14,10,5,25,not rainy
69,48,56,30.04,10,6,23,not rainy
67,45,55,30.01,10,3,19,not rainy
68,43,51,30.11,10,4,19,not rainy
68,53,63,30.09,10,5,26,"Rain , Thunderstorm"
72,62,75,29.96,10,8,32,not rainy
80,68,74,29.89,10,5,26,not rainy
68,61,83,30.03,8,7,26,"Rain , Thunderstorm"
65,60,83,30.04,8,4,20,Rain
66,56,75,30,6,4,17,Fog
67,58,77,29.87,8,5,22,not rainy
70,66,92,29.84,7,8,28,Rain
71,67,90,29.93,5,6,25,"Fog , Rain , Thunderstorm"
69,65,87,30.05,6,4,23,"Rain , Thunderstorm"
72,64,79,30.06,6,2,13,not rainy
71,63,72,29.98,9,4,35,"Rain , Thunderstorm"
72,61,70,29.97,8,5,25,"Rain , Thunderstorm"
72,55,63,30.06,10,4,16,not rainy
69,54,61,30.02,10,3,17,not rainy
71,63,79,29.86,10,6,20,not rainy
79,69,76,29.77,10,7,25,Thunderstorm
79,69,77,29.67,8,9,27,not rainy
76,58,54,29.69,8,5,37,"Rain , Thunderstorm"
75,66,71,29.78,8,7,25,not rainy
80,73,82,29.65,7,7,23,Rain
76,67,73,29.7,8,4,23,"Fog , Rain , Thunderstorm"
72,60,69,29.89,10,7,22,not rainy
64,51,68,30.07,10,7,25,"Rain , Thunderstorm"
67,48,60,30.08,10,4,19,not rainy
71,51,57,30.04,10,5,19,not rainy
74,53,51,30.02,10,4,15,not rainy
71,53,60,30.03,10,3,19,not rainy
73,58,65,29.96,10,6,29,not rainy
70,65,88,29.85,10,8,27,Rain
77,66,69,29.76,10,7,30,not rainy
79,70,75,29.87,6,8,29,"Rain , Thunderstorm"
76,67,76,29.98,8,6,26,"Rain , Thunderstorm"
76,68,78,30.09,9,4,29,"Rain , Thunderstorm"
79,67,69,30.09,10,4,13,not rainy
72,68,87,30.07,6,2,16,"Rain , Thunderstorm"
67,62,83,30.05,9,4,15,Rain
74,66,84,29.92,6,5,17,Rain
74,66,83,29.92,6,5,31,"Rain , Thunderstorm"
71,61,77,30.02,10,7,23,"Rain , Thunderstorm"
69,61,84,29.97,5,5,29,"Rain , Thunderstorm"
